state,disease,cases,incidence_per_100000
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
PA,HEPATITIS A,1,0.009999999776
